,description.year_built,description.baths_full,description.baths_3qtr,description.baths_half,description.baths_1qtr,description.lot_sqft,description.sqft,description.garage,description.beds,description.stories,location.address.coordinate.lon,location.address.coordinate.lat,list_price
618,2020.0,2.0,,1.0,,6970.0,2426.0,1.0,3.0,2.0,-78.911577,36.016357,649900
619,1997.0,4.0,,1.0,,37462.0,8125.0,4.0,4.0,,-78.86277,36.124692,925000
620,2020.0,2.0,,1.0,,4792.0,1457.0,,3.0,2.0,-78.8993,35.9767,294000
621,,2.0,,1.0,,2429.0,2429.0,2.0,3.0,1.0,-78.92333,36.094191,332900
623,2015.0,3.0,,,,4792.0,2032.0,2.0,3.0,2.0,-78.7841,35.937683,400000
624,2016.0,2.0,,1.0,,8451.0,2108.0,2.0,2.0,1.0,-78.820948,35.899657,455000
625,1925.0,1.0,,1.0,,6970.0,1733.0,,3.0,,-78.911712,35.984788,479500
626,2021.0,3.0,,,,5663.0,2637.0,2.0,4.0,2.0,-78.97607871,35.973596375,472990
628,2020.0,3.0,,,,6534.0,2529.0,2.0,3.0,2.0,-78.79051788,35.960376481,381340
629,2020.0,3.0,,,,6098.0,2422.0,2.0,4.0,2.0,-78.79060736,35.96026102,384290
631,1968.0,2.0,,,,7405.0,,,4.0,2.0,-78.906177,35.960296,189500
632,,3.0,,,,,2239.0,2.0,3.0,,-78.833465,35.906508,406392
633,,2.0,,1.0,,,2076.0,3.0,2.0,1.0,-78.83598,35.904542,517647
635,2019.0,2.0,,1.0,,11326.0,1698.0,1.0,3.0,2.0,-78.927967,35.958291,374900
637,2000.0,3.0,,2.0,,66777.0,4751.0,5.0,4.0,2.0,-78.95142,36.046757,1150000
638,1961.0,2.0,,,,1907928.0,1674.0,,2.0,1.0,-78.857946,36.07465,1495000
644,2020.0,3.0,,,,6098.0,2529.0,2.0,3.0,2.0,-78.79073246,35.960176745,380340
645,2012.0,2.0,,1.0,,5663.0,2366.0,2.0,4.0,2.0,-78.87128,36.0621,280000
646,1954.0,1.0,,,,60026.0,1138.0,,2.0,1.0,-78.889306,35.929958,280000
650,1910.0,1.0,,,,7362.0,973.0,,2.0,1.0,-78.874681,35.984559,169400
651,2020.0,2.0,,1.0,,9017.0,1397.0,,3.0,2.0,-78.903348,35.965491,299967
654,2020.0,3.0,,,,7710.0,2931.0,2.0,3.0,2.0,-78.9369199,35.890446022,602390
655,2020.0,3.0,,,,7231.0,2931.0,2.0,3.0,2.0,-78.93660563,35.88724129,633770
656,2020.0,3.0,,1.0,,11326.0,2638.0,2.0,4.0,2.0,-78.97597116,35.973603683,550000
657,1980.0,3.0,,1.0,,33106.0,2986.0,2.0,4.0,2.0,-78.960114,36.082303,470000
658,2004.0,3.0,,2.0,,60548.0,5889.0,3.0,4.0,2.0,-78.949091,36.052916,1450000
661,2020.0,2.0,,,,4356.0,1200.0,,2.0,2.0,-78.886461,36.02438,348500
662,1971.0,2.0,,,,20038.0,1501.0,,3.0,1.0,-78.93317,36.082087,245000
663,2006.0,6.0,,3.0,,544500.0,15675.0,4.0,5.0,2.0,-78.928112,35.855592,7500000
664,2021.0,2.0,,1.0,,7841.0,2160.0,2.0,2.0,1.0,-78.77113268,35.930171218,435030
666,1950.0,3.0,,,,6578.0,2297.0,1.0,4.0,2.0,-78.8747,35.983882,395000
667,1940.0,1.0,,,,7057.0,829.0,,2.0,1.0,-78.901492,36.00963,249900
668,1953.0,2.0,,,,7841.0,1509.0,,4.0,1.0,-78.877615,36.023129,244900
669,2020.0,2.0,,,,9496.0,1362.0,,3.0,1.0,-78.853906,35.98881,244900
670,2020.0,2.0,,,,9496.0,1248.0,,4.0,1.0,-78.853743,35.988774,241900
671,1940.0,1.0,,,,15377.0,882.0,,3.0,1.0,-78.854706,35.967194,179000
673,1917.0,2.0,,,,17424.0,2900.0,,4.0,2.0,-78.898637,35.982108,329900
674,1940.0,1.0,,,,10498.0,967.0,,2.0,1.0,-78.909357,36.036354,249000
675,2018.0,2.0,,,,6360.0,2058.0,2.0,3.0,1.0,-78.776453,35.931527,459900
677,2019.0,2.0,,1.0,,5271.0,2367.0,,3.0,2.0,-78.904534,35.980629,429999
678,,2.0,,1.0,,,2150.0,2.0,2.0,1.0,-78.835343,35.906342,491530
679,,2.0,,,,2160.0,2160.0,2.0,2.0,1.0,-78.76246,35.926044,372490
680,,2.0,,1.0,,2149.0,2149.0,2.0,2.0,1.0,-78.76246,35.926044,372490
681,,2.0,,1.0,,1916.0,1916.0,2.0,2.0,2.0,-78.76246,35.926044,342990
682,,3.0,,,,2085.0,2085.0,1.0,3.0,2.0,-78.76246,35.926044,337990
683,,2.0,,1.0,,1997.0,1997.0,2.0,2.0,1.0,-78.76246,35.926044,365490
684,,2.0,,1.0,,1931.0,1931.0,2.0,2.0,2.0,-78.76246,35.926044,344990
685,,2.0,,,,2056.0,2056.0,2.0,2.0,1.0,-78.76246,35.926044,368490
686,,2.0,,1.0,,2025.0,2025.0,2.0,2.0,1.0,-78.76246,35.926044,374490
689,1920.0,1.0,,,,2352.0,1098.0,,3.0,2.0,-78.900094,35.981966,90000
690,2020.0,3.0,,,,5619.0,2429.0,2.0,3.0,2.0,-78.790712,35.944394,417175
691,,2.0,,,,,1700.0,2.0,3.0,1.0,-78.757031,35.929417,384241
692,2020.0,2.0,,1.0,,6970.0,2114.0,3.0,2.0,1.0,-78.835981,35.904514,517647
693,1925.0,3.0,,1.0,,7579.0,2869.0,,4.0,2.0,-78.918911,35.976815,545000
695,2020.0,2.0,,1.0,,6970.0,2150.0,2.0,2.0,1.0,-78.835343,35.906342,491530
698,1955.0,1.0,,,,7710.0,825.0,,3.0,1.0,-78.869769,35.990142,200000
