,list_price,description.year_built,description.baths_full,description.baths_3qtr,description.baths_half,description.baths_1qtr,description.lot_sqft,description.sqft,description.garage,description.beds
786,279500,1952.0,2.0,,,,9583.0,1512.0,,3.0
787,350990,,2.0,,,,1902.0,1902.0,2.0,3.0
788,345990,,2.0,,,,1796.0,1796.0,2.0,2.0
789,350990,,2.0,,,,1883.0,1883.0,2.0,3.0
790,342990,,2.0,,,,1672.0,1672.0,2.0,2.0
791,633000,2021.0,3.0,,1.0,,5663.0,2819.0,2.0,4.0
792,375840,2020.0,3.0,,,,7405.0,2388.0,2.0,3.0
793,378140,2020.0,3.0,,,,6534.0,2388.0,2.0,3.0
795,239900,1946.0,1.0,,,,7275.0,1172.0,,2.0
796,655000,2020.0,5.0,,,,4966.0,3389.0,2.0,5.0
798,414070,2020.0,2.0,,,,5793.0,1861.0,2.0,3.0
799,495000,2020.0,3.0,,,,3703.0,2437.0,2.0,4.0
800,369500,1963.0,2.0,,,,25265.0,2250.0,,3.0
801,150000,1940.0,1.0,,,,82503.0,547.0,,1.0
807,595000,1983.0,4.0,,,,50965.0,3712.0,2.0,5.0
809,352900,2013.0,2.0,,,,5140.0,1556.0,2.0,2.0
812,189500,1991.0,2.0,,,,6098.0,1300.0,,3.0
814,385000,2020.0,3.0,,,,46783.0,1582.0,,4.0
815,375000,2020.0,3.0,,,,10106.0,1582.0,,4.0
816,125000,1950.0,1.0,,,,15682.0,742.0,,2.0
819,625000,1989.0,3.0,,1.0,,18644.0,3243.0,2.0,4.0
820,588485,2020.0,3.0,,,,6578.0,2588.0,2.0,3.0
821,469180,2020.0,3.0,,,,7710.0,2034.0,2.0,3.0
822,675000,2020.0,2.0,,1.0,,6534.0,2212.0,1.0,3.0
824,825000,2021.0,3.0,,,,7841.0,3520.0,2.0,4.0
825,259999,2020.0,2.0,,1.0,,10019.0,1920.0,2.0,4.0
826,519900,1962.0,3.0,,1.0,,27530.0,4125.0,2.0,5.0
828,187000,1940.0,2.0,,,,8712.0,1339.0,,3.0
830,260000,1950.0,1.0,,,,28750.0,888.0,,2.0
831,825000,1910.0,3.0,,1.0,,6490.0,3204.0,2.0,4.0
834,130000,1956.0,2.0,,,,9627.0,1724.0,,3.0
840,314900,1972.0,2.0,,,,20168.0,1728.0,,4.0
842,306900,2020.0,2.0,,,,29621.0,1412.0,2.0,3.0
843,415000,1997.0,3.0,,1.0,,24002.0,3026.0,2.0,4.0
847,528250,2020.0,3.0,,,,7144.0,2585.0,2.0,3.0
848,725000,2020.0,2.0,,1.0,,10193.0,2022.0,2.0,3.0
849,725000,2020.0,2.0,,1.0,,9845.0,2022.0,2.0,3.0
850,249999,2020.0,2.0,,,,14375.0,1543.0,2.0,3.0
851,305990,,2.0,,1.0,,1658.0,1658.0,2.0,3.0
852,338990,,3.0,,,,2518.0,2518.0,2.0,4.0
853,325990,,2.0,,1.0,,2151.0,2151.0,2.0,4.0
854,318990,,2.0,,1.0,,2007.0,2007.0,0.0,3.0
855,345990,,3.0,,,,2697.0,2697.0,2.0,4.0
856,860000,1979.0,4.0,,1.0,,30928.0,5372.0,2.0,4.0
860,525000,1955.0,2.0,,,,714384.0,1080.0,,3.0
864,379900,2020.0,2.0,,1.0,,30928.0,2392.0,2.0,4.0
865,239990,,2.0,,,,1440.0,1440.0,2.0,3.0
870,304900,2020.0,2.0,,1.0,,10454.0,2225.0,2.0,4.0
871,270000,2020.0,2.0,,1.0,,11326.0,1920.0,2.0,3.0
872,1199999,2007.0,5.0,,2.0,,28488.0,6685.0,3.0,5.0
874,83900,1971.0,2.0,,1.0,,11326.0,1382.0,,4.0
875,162000,1900.0,1.0,,,,10454.0,1586.0,,4.0
876,850000,1999.0,3.0,,2.0,,276606.0,3255.0,8.0,4.0
879,340000,1938.0,1.0,,,,91258.0,900.0,,1.0
880,309990,,2.0,,,,1551.0,1551.0,2.0,2.0
881,367990,,2.0,,1.0,,2082.0,2082.0,2.0,3.0
883,489400,,2.0,,,,2114.0,2114.0,2.0,2.0
884,376990,,2.0,,1.0,,2169.0,2169.0,2.0,2.0
885,463400,,2.0,,,,1888.0,1888.0,2.0,2.0
886,277990,,2.0,,1.0,,1924.0,1924.0,2.0,3.0
888,290990,,3.0,,,,2134.0,2134.0,2.0,4.0
889,273990,,2.0,,1.0,,1859.0,1859.0,2.0,3.0
890,471400,,2.0,,,,2053.0,2053.0,2.0,2.0
891,344990,,2.0,,,,1800.0,1800.0,2.0,2.0
893,429400,,2.0,,,,1643.0,1643.0,2.0,2.0
894,349990,,2.0,,,,1873.0,1873.0,2.0,2.0
896,439400,,2.0,,,,1776.0,1776.0,2.0,2.0
897,599900,2020.0,2.0,,1.0,,5227.0,2173.0,,3.0
898,409400,,2.0,,,,1519.0,1519.0,2.0,2.0
899,452400,,2.0,,,,2114.0,2114.0,2.0,2.0
900,426400,,2.0,,,,1888.0,1888.0,2.0,2.0
902,392400,,2.0,,,,1643.0,1643.0,2.0,2.0
906,433400,,2.0,,,,2053.0,2053.0,2.0,2.0
907,402400,,2.0,,,,1776.0,1776.0,2.0,2.0
908,372400,,2.0,,,,1519.0,1519.0,2.0,2.0
910,930000,2019.0,3.0,,1.0,,2178.0,3131.0,2.0,4.0
911,389997,2020.0,2.0,,1.0,,6970.0,1979.0,,3.0
912,780000,2005.0,3.0,,1.0,,16117.0,5036.0,3.0,4.0
913,375000,1995.0,2.0,,,,12284.0,1248.0,,3.0
914,415900,2020.0,3.0,,1.0,,7405.0,3098.0,2.0,4.0
916,422900,,2.0,,1.0,,2076.0,2076.0,3.0,2.0
917,305900,,2.0,,,,1608.0,1608.0,2.0,2.0
918,433900,,3.0,,1.0,,2425.0,2425.0,2.0,3.0
